Time,Ca[*],Cb[*],Cc[*],Cm[*],T[*],Fa0[*],mc[*],dCadt[*],dCbdt[*],dCcdt[*],dCmdt[*],dTdt[*]
0,0.15612173378479913,33.55804914071708,2.74943773137456,3.633950405628219,339.7951413008544,,,,,,,
1.55051,0.010624294653038144,25.18187443593266,4.9259597905652,3.013438434486338,391.8999162422806,80.98741581246237,301.8451848212214,-0.06059118746654047,-3.63294021938891,0.9421138861581534,-0.26931991959584706,22.280093853949914
6.44949,0.007206843492139866,23.625803315223333,5.312514343023623,2.896383645688739,398.50679786990895,80.98741581246237,301.8451848212214,0.024897340378669544,1.269721845109981,-0.3320736680561689,0.09384750272981267,-8.302632898184381
10,0.009244064690463643,24.54966180455265,5.083005963567039,2.9658798868444314,394.2566032832245,80.98741581246237,301.8451848212214,-0.04176533185403687,-1.6569302152627492,0.4403278726727893,-0.12176751841619056,11.833490832494924
11.55051,0.00828117818532004,24.19990719040245,5.170037658744162,2.9395844269499927,395.9552032034788,80.26316589944295,299.11350094296716,-0.0004103024683745233,-0.1518168098311034,0.03777178950110441,-0.011414558321688903,0.7277658531077223
16.44949,0.00817243768693238,24.133795902367016,5.186433369775623,2.934608485417726,396.1836973903931,80.26316589944295,299.11350094296716,0.00015500685117923402,0.05287821117942274,-0.013165130056214369,0.0039748099417507106,-0.26927358839836235
20,0.008242759083414118,24.173014190895877,5.1767027881178675,2.9375598562788046,396.0355743005062,80.26316589944295,299.11350094296716,-0.00022617247356559515,-0.06857804088451973,0.017092867900213065,-0.005153057170152204,0.3776643279968694
21.55051,0.008209075361346137,24.161044595388493,5.179681810661341,2.9366600059062646,396.0955505303097,80.21328701925697,298.45220126309505,-1.4356259595411366e-05,-0.005195646073011032,0.001292904535581084,-0.00039061725028944813,0.025697122416020145
26.44949,0.00820524449260588,24.158781623192358,5.18024311300019,2.936489689323888,396.1036208018081,80.21328701925697,298.45220126309505,5.42005463118444e-06,0.001809578223299882,-0.0004506187212197447,0.0001360154186144633,-0.009507702177402034
30,0.008207728493568309,24.16012397712913,5.179909999279955,2.9365907020695396,396.09838796148193,80.21328701925697,298.45220126309505,-7.893135620671862e-06,-0.0023467213422961055,0.0005850283431053963,-0.0001763241733024006,0.013333078109085355
31.55051,0.008206783224296422,24.15979422373241,5.179992082137304,2.9365659133525712,396.0998923083815,80.21104641253339,298.43241566613636,-4.016221371370359e-07,-0.00014313402214673085,3.562220990807127e-05,-1.0760731795469256e-05,0.0006445048801623977
36.44949,0.008206687262533412,24.159731893142617,5.180007535090043,2.936561221424595,396.10009435672725,80.21104641253339,298.43241566613636,1.534213045687766e-07,4.985364802552503e-05,-1.2417428613865716e-05,3.7469475039253243e-06,-0.0002385187401280153
40,0.008206749496707843,24.159768865885,5.179998364834185,2.93656400414302,396.0999633454647,80.21104641253339,298.43241566613636,-2.2815608342785342e-07,-6.465709303814002e-05,1.6126613823919886e-05,-4.857359017495803e-06,0.00033464035026092663
41.55051,0.008206752044569908,24.1599075579119,5.1799641389834665,2.936574459803121,396.10000255188936,80.21124887019442,298.4376599569403,-1.0094436017483842e-06,-0.0006008418014881821,0.00014902523081886286,-4.522100658118256e-05,1.5824000010672347e-05
46.44949,0.008206753057166168,24.159646018359815,5.180028676224036,2.9365547424146854,396.099998796477,80.21124887019442,298.4376599569403,4.2434532218676175e-07,0.00020928939556599056,-5.1964287150212285e-05,1.574621256733488e-05,-7.250057449225485e-06
50,0.008206752517591303,24.159801134000855,5.179990399996308,2.93656643653177,396.1000012283001,80.21124887019442,298.4376599569403,-7.321922719946923e-07,-0.0002714946650985174,6.754606124841151e-05,-2.0412622634359266e-05,1.3928699270068193e-05
51.55051,0.00820675098186488,24.159908761164864,5.179963842737621,2.9365745507113274,396.10000530093487,80.21125101639952,298.43772755415995,-1.0466444224747627e-06,-0.0006057325180553261,0.0001502604952640159,-4.5587268419736e-05,7.263109401777325e-07
56.44949,0.00820675440033952,24.159645107777628,5.1800288999547535,2.936554673624568,396.09999640606236,80.21125101639952,298.43772755415995,4.4036242040768913e-07,0.0002109954349764916,-5.239747694516546e-05,1.5873747061823853e-05,-1.7276925475715691e-06
60,0.0082067523059591,24.15980147697832,5.17999031546374,2.936566462456608,396.1000021702389,80.21125101639952,298.43772755415995,-7.607279533588007e-07,-0.00027371406402058033,6.811539945051735e-05,-2.0577952189375002e-05,6.356036325808306e-06
61.55051,0.008206750931124263,24.15990865772869,5.179963867877687,2.9365745401341767,396.100005370107,80.2112508342674,298.43772411464545,-1.0478169354978418e-06,-0.000605318147570908,0.00015016043317244432,-4.554733567258301e-05,3.5102368591607286e-07
66.44949,0.008206754410259734,24.159645185588115,5.180028880893615,2.9365546804589884,396.0999963453202,80.2112508342674,298.43772411464545,4.4086482914111737e-07,0.0002108512429031548,-5.2362728877741086e-05,1.585984224866945e-05,-1.590767311252829e-06
70,0.008206752276705248,24.159801447290615,5.179990322620946,2.9365664589644576,396.1000021937306,80.2112508342674,298.43772411464545,-7.61617412306788e-07,-0.00027352737854659595,6.80705918955743e-05,-2.055992666264334e-05,6.169217143941271e-06
71.55051,0.00820675092944189,24.1599086517643,5.179963868925829,2.936574542439434,396.1000053721249,80.21125082667405,298.4377239646681,-1.0479120993638029e-06,-0.0006052958087942332,0.00015015630633336604,-4.555416232104329e-05,3.4172541774838815e-07
76.44949,0.008206754410305134,24.159645189407158,5.180028880099141,2.936554679787671,396.09999634354284,80.21125082667405,298.4377239646681,4.40905094742657e-07,0.00021084347154348747,-5.2361299017777846e-05,1.586221932648949e-05,-1.5874669642105686e-06
80,0.008206752275642024,24.159801445307153,5.179990322919387,2.936566460058507,396.1000021944138,80.21125082667405,298.4377239646681,-7.616875084841973e-07,-0.0002735173220295151,6.806875619240218e-05,-2.0563008189916054e-05,6.164966291258289e-06
