Time,Ca[*],Cb[*],Fa0[*],dCadt[*],dCbdt[*]
0,0,0,,,
1,0.47619046957106664,0.19047619119830786,19.99999946924371,0.47619046957106664,0.19047619119830786
2,0.5332707976852817,0.3330420037527798,14.933826336123671,0.057080328114215095,0.14256581255447193
3,0.60314041449761,0.3522941518849137,19.997957544726635,0.06986961681232827,0.019252148132133884
4,0.5582095660412421,0.4233331563434699,14.145182483771476,-0.04493084845636802,0.07103900445855621
5,0.5086487312049044,0.4827319238624762,11.413782322874622,-0.04956083483633744,0.05939876751900628
6,0.5012094279249072,0.4948564232549229,11.909046471320694,-0.00743930327999727,0.012124499392446648
7,0.5001388737950531,0.498071677058981,11.98525076300043,-0.0010705541298541218,0.003215253804058075
8,0.5000021855246587,0.4991843312934055,11.9973711282848,-0.00013668827039432807,0.001112654234424553
9,0.49999303430313075,0.4996371919182571,11.999482629327412,-9.15122152792954e-06,0.0004528606248516235
10,0.49999691271546726,0.4998350077547117,11.999929379025216,3.878412336542815e-06,0.00019781583645459412
11,0.49999989899800296,0.4999237014062886,12.000054877543766,2.9862825355993478e-06,8.869365157688385e-05
12,0.5000014433829963,0.49996382968616365,12.00010017037287,1.5443849935013767e-06,4.0128279875064706e-05
13,0.5000021741158187,0.4999820410009801,12.000118972733057,7.307328222371222e-07,1.82113148164912e-05
14,0.5000025107165106,0.4999903143780791,12.000127247045304,3.3660069184279863e-07,8.27337709904124e-06
15,0.5000026644119313,0.4999940742868421,12.000130966379016,1.5369542081808506e-07,3.7599087630251924e-06
16,0.5000027343832333,0.4999957832160564,12.000132650546675,6.997130199590767e-08,1.7089292143070877e-06
17,0.5000027656160357,0.49999655891818146,12.000133447624409,3.4865828029053343e-08,7.757021250087468e-07
18,0.5000027622650065,0.49999655891818146,12.00013379687124,3.4865828029053343e-08,7.757021250087468e-07
19,0.5000027751464203,0.49999655891818146,12.000133681456957,3.4865828029053343e-08,7.757021250087468e-07
20,0.5000027778533827,0.49999655891818146,12.00013365720329,3.4865828029053343e-08,7.757021250087468e-07
21,0.5000027788984652,0.49999655891818146,12.00013364783958,3.4865828029053343e-08,7.757021250087468e-07
22,0.5000027789753521,0.49999655891818146,12.000133647150705,3.4865828029053343e-08,7.757021250087468e-07
23,0.5000027789739644,0.49999655891818146,12.000133647163153,3.4865828029053343e-08,7.757021250087468e-07
24,0.5000027789715844,0.49999655891818146,12.000133647184503,3.4865828029053343e-08,7.757021250087468e-07
25,0.500002778970842,0.49999655891818146,12.000133647191118,3.4865828029053343e-08,7.757021250087468e-07
26,0.5000027789706529,0.49999655891818146,12.000133647192893,3.4865828029053343e-08,7.757021250087468e-07
27,0.5000027789706066,0.49999655891818146,12.000133647193275,3.4865828029053343e-08,7.757021250087468e-07
28,0.5000027789705932,0.49999655891818146,12.000133647193355,3.4865828029053343e-08,7.757021250087468e-07
29,0.5000027789705882,0.49999655891818146,12.00013364719343,3.4865828029053343e-08,7.757021250087468e-07
30,0.5000027789705869,0.49999655891818146,12.000133647193403,3.4865828029053343e-08,7.757021250087468e-07
31,0.5000027789705855,0.49999655891818146,12.00013364719342,3.4865828029053343e-08,7.757021250087468e-07
32,0.5000027789705852,0.49999655891818146,12.000133647193431,3.4865828029053343e-08,7.757021250087468e-07
33,0.5000027789705852,0.49999655891818146,12.000133647193415,3.4865828029053343e-08,7.757021250087468e-07
34,0.5000027789705849,0.49999655891818146,12.000133647193412,3.4865828029053343e-08,7.757021250087468e-07
35,0.5000027789705846,0.49999655891818146,12.000133647193472,3.4865828029053343e-08,7.757021250087468e-07
36,0.5000027789705855,0.49999655891818146,12.000133647193387,3.4865828029053343e-08,7.757021250087468e-07
37,0.5000027789705845,0.49999655891818146,12.000133647193483,3.4865828029053343e-08,7.757021250087468e-07
38,0.5000027789705856,0.49999655891818146,12.000133647193431,3.4865828029053343e-08,7.757021250087468e-07
39,0.5000027789705852,0.49999655891818146,12.000133647193424,3.4865828029053343e-08,7.757021250087468e-07
40,0.5000027789705851,0.49999655891818146,12.000133647193406,3.4865828029053343e-08,7.757021250087468e-07
41,0.5000027789705848,0.49999655891818146,12.000133647193403,3.4865828029053343e-08,7.757021250087468e-07
42,0.5000027789705845,0.49999655891818146,12.000133647193447,3.4865828029053343e-08,7.757021250087468e-07
43,0.5000027789705851,0.49999655891818146,12.000133647193397,3.4865828029053343e-08,7.757021250087468e-07
44,0.5000027789705846,0.49999655891818146,12.000133647193401,3.4865828029053343e-08,7.757021250087468e-07
45,0.5000027789705845,0.49999655891818146,12.000133647193502,3.4865828029053343e-08,7.757021250087468e-07
46,0.500002778970586,0.49999655891818146,12.000133647193428,3.4865828029053343e-08,7.757021250087468e-07
47,0.5000027789705853,0.49999655891818146,12.000133647193385,3.4865828029053343e-08,7.757021250087468e-07
48,0.5000027789705844,0.49999655891818146,12.000133647193444,3.4865828029053343e-08,7.757021250087468e-07
49,0.5000027789705851,0.49999655891818146,12.000133647193433,3.4865828029053343e-08,7.757021250087468e-07
50,0.5000027789705851,0.49999655891818146,12.0001336471934,3.4865828029053343e-08,7.757021250087468e-07
51,0.5000027789705846,0.49999655891818146,12.00013364719342,3.4865828029053343e-08,7.757021250087468e-07
52,0.5000027789705848,0.49999655891818146,12.000133647193415,3.4865828029053343e-08,7.757021250087468e-07
53,0.5000027789705848,0.49999655891818146,12.000133647193465,3.4865828029053343e-08,7.757021250087468e-07
54,0.5000027789705854,0.49999655891818146,12.000133647193417,3.4865828029053343e-08,7.757021250087468e-07
