Time,x[*],x_dot[*],theta[*],theta_dot[*],F[*],dx[*],dx_dot[*],dtheta[*],dtheta_dot[*]
0,0,0,0.17453292519943295,0,,,,,
0.011421,0.00014276641710954827,0.024990628128909738,0.17435844016632362,-0.030537721537552073,1.4659335064279022,0.024990628128909738,2.1862390357811434,-0.030537721537552073,-2.676589106265138
0.055369,0.003349078022213336,0.12087967325591203,0.1704120249073539,-0.14974848194743182,1.4659335064279022,0.12087967325591203,2.1799732759692194,-0.14974848194743182,-2.7689224832226653
0.116718,0.014873087181011456,0.25497227406469114,0.1558401981665013,-0.3287640487054518,1.4659335064279022,0.25497227406469114,2.1965663327955447,-0.3287640487054518,-3.1097193380851085
0.172048,0.03236123818526036,0.3775639746368174,0.1326438053343258,-0.5147064241286571,1.4659335064279022,0.3775639746368174,2.2394479292651734,-0.5147064241286571,-3.651171975800058
0.2,0.04379378947719656,0.44060296811036403,0.116784506706297,-0.621760257162773,1.4659335064279022,0.44060296811036403,2.272420964654201,-0.621760257162773,-4.020061462169162
0.21142100000000003,0.04881366241945722,0.43850309486697503,0.10981719662155588,-0.5986363898745283,0.10505163412244635,0.43850309486697503,-0.17502420300624214,-0.5986363898745283,1.9493514194168673
0.255369,0.06793691476616545,0.4322344025248992,0.08521215709472368,-0.5250451681434419,0.10505163412244635,0.4322344025248992,-0.11145339264384733,-0.5250451681434419,1.4106739137561541
0.316718,0.09429542324273923,0.42785915802566415,0.055227035884988986,-0.4592328564300905,0.10505163412244635,0.42785915802566415,-0.03279925805981199,-0.4592328564300905,0.7488598075025252
0.37204800000000005,0.11795214883813093,0.4278515551800274,0.030682113236456938,-0.43300217265530455,0.10505163412244635,0.4278515551800274,0.03187758739315534,-0.43300217265530455,0.20436408196362288
0.4,0.12992803369891734,0.4291861551647621,0.018623760574291756,-0.4310372103939761,0.10505163412244635,0.4291861551647621,0.06357584080764665,-0.4310372103939761,-0.06358412052147316
0.4114210000000001,0.13478195663178977,0.42085331469377035,0.01382498223948354,-0.40952863519848914,-0.33517392345675384,0.42085331469377035,-0.7225810195567525,-0.40952863519848914,1.8305548017303075
0.4553690000000001,0.15259617646583434,0.3902042720162501,-0.002527760914002503,-0.3373154357870453,-0.33517392345675384,0.3902042720162501,-0.6736275801329277,-0.3373154357870453,1.4672887797369827
0.5167180000000001,0.17530435721867282,0.3506549694439238,-0.020731443756688103,-0.2602713264670552,-0.33517392345675384,0.3506549694439238,-0.6178497439567064,-0.2602713264670552,1.0617361951218889
0.5720480000000001,0.19378207050176466,0.3176290180850274,-0.03366231111481968,-0.20979325069606505,-0.33517392345675384,0.3176290180850274,-0.5772389108911932,-0.20979325069606505,0.7732097382397902
0.6000000000000001,0.2024372962514353,0.30174680876039744,-0.03924098629270381,-0.18994984123470743,-0.33517392345675384,0.30174680876039744,-0.5594169710906418,-0.18994984123470743,0.6486789469103559
0.6114210000000001,0.2058367050230071,0.2935668464006499,-0.04134293526593353,-0.17823615867264328,-0.4234366788428697,0.2935668464006499,-0.7126993373613156,-0.17823615867264328,1.0024006672850154
0.6553690000000001,0.21805824418424472,0.2627943628440539,-0.04826108738073217,-0.1377277463090782,-0.4234366788428697,0.2627943628440539,-0.6885399302922516,-0.1377277463090782,0.8476935689189652
0.7167180000000001,0.23290248391018806,0.22139741328088824,-0.055223104573999864,-0.09082729213165794,-0.4234366788428697,0.22139741328088824,-0.6623418960362387,-0.09082729213165794,0.6919830887539237
0.7720480000000001,0.24414809284887437,0.18525481190615203,-0.05924089084008659,-0.05522860366302537,-0.4234366788428697,0.18525481190615203,-0.645006074777194,-0.05522860366302537,0.6021247462260819
0.8,0.24907527586575112,0.1673232425402057,-0.06055355583836117,-0.03883223003311359,-0.4234366788428697,0.1673232425402057,-0.6382319632336282,-0.03883223003311359,0.572768545198104
0.8114210000000001,0.25094921148968036,0.1608422802663911,-0.060971215917344466,-0.034328831213771366,-0.38511573140287864,0.1608422802663911,-0.5663329685439191,-0.034328831213771366,0.389744138467891
0.855369,0.2574735546943091,0.13612626376528839,-0.062113073957257535,-0.01782031769203007,-0.38511573140287864,0.13612626376528839,-0.5587909505392245,-0.01782031769203007,0.3642347804111486
0.916718,0.2647784041034511,0.1020874247369785,-0.06253142234602302,0.004085360738836964,-0.38511573140287864,0.1020874247369785,-0.5514904265493655,0.004085360738836964,0.35488920450938455
0.972048,0.2695848731337603,0.07168274925521242,-0.06175648912248442,0.024086417333306156,-0.38511573140287864,0.07168274925521242,-0.5480393384322733,0.024086417333306156,0.3722007871096699
1.0,0.27137455357341106,0.05637402226925169,-0.06093564295333888,0.03473097666704766,-0.38511573140287864,0.05637402226925169,-0.5474530547439044,0.03473097666704766,0.39053887236071916
1.0114210000000001,0.2719916530401913,0.05169124430340293,-0.06053569823174823,0.03532234905902913,-0.30939266343798216,0.05169124430340293,-0.41012893636925446,0.03532234905902913,0.056246918270057185
1.0553690000000002,0.27386700377744877,0.033645646889861554,-0.05891770005699079,0.03857530918609001,-0.30939266343798216,0.033645646889861554,-0.4111634812927274,0.03857530918609001,0.09232785775764954
1.1167180000000003,0.2751561413435061,0.008357299676561238,-0.05634288746402902,0.0459496972403912,-0.30939266343798216,0.008357299676561238,-0.41343635414696184,0.0459496972403912,0.1497556081563686
1.1720480000000002,0.2749841987885885,-0.014602931050494858,-0.05354093199677994,0.05590815941616305,-0.30939266343798216,-0.014602931050494858,-0.4167427945031948,0.05590815941616305,0.21226190600714118
